Year-month,Max,Min
193804,63,42.3
193805,65.5,49.2
193806,78.5,59.1
193807,83.4,65.1
193808,84.8,63.9
193809,72,53.2
193810,66.6,44.7
193811,38.3,24.3
193812,26.3,13.5
193901,26.1,12.4
193902,20,-1.4
193903,39.1,20.4
193904,52.2,33.7
193905,76.1,52.8
193906,78.9,60.1
193907,85.3,65.6
193908,82,61.5
193909,75.1,54
193910,56.4,39
193911,47.4,27.5
193912,35.2,19.2
194001,12.8,-0.7
194002,26.6,12.5
194003,31.5,17.6
194004,53,35.4
194005,66.9,46.3
194006,78.1,59.7
194007,87.2,66.1
194008,76.8,61.8
194009,76.1,55.3
194010,63.6,44.8
194011,33.7,21.5
194012,27.7,15.3
194101,23.9,10
194102,23.7,6
194103,35.8,21.2
194104,62.8,44
194105,74.3,53.5
194106,78.5,61.4
194107,85.5,65.6
194108,83.2,62.9
194109,72.9,54.2
194110,59.4,42.8
194111,43.8,28.8
194112,32.3,19.3
194201,27.9,12.3
194202,27.2,14.7
194203,42.7,29.8
194204,64,41.5
194205,65.2,48.1
194206,76.2,59
194207,81.5,63.1
194208,80,62.2
194209,65.9,49.3
194210,60.2,40.8
194211,41.6,25.3
194212,21.3,8.7
194301,15.3,-0.5
194302,27.6,7.4
194303,32.1,15.9
194304,54.8,35
194305,66,46.5
194306,79.9,62.5
194307,84.7,66.2
194308,81.3,63.6
194309,68,49.2
194310,59.6,39.8
194311,34.7,23.9
194312,30.6,15.4
194401,33.2,19
194402,29.5,12
194403,32.2,20.3
194404,51.9,35.1
194405,72.3,53.8
194406,79.9,61.3
194407,81,63.4
194408,81.3,63
194409,70.7,53.3
194410,62,40.8
194411,41.8,33.3
194412,25.7,12.1
194501,19,5.5
194502,27.2,8.5
194503,49.8,30.6
194504,53.2,35.8
194505,62.2,43.2
194506,70.6,53.9
194507,80.9,61.6
194508,81.1,62
194509,70.1,50.9
194510,58.8,38.9
194511,37.9,25.3
194512,18.7,7.1
194601,22.6,6.7
194602,26.4,7.4
194603,51.1,34.5
194604,62.1,41.2
194605,66.1,45.7
194606,77.6,58.3
194607,84,64.9
194608,79.9,58.8
194609,69.5,51.1
194610,61.1,41.9
194611,40.6,25.1
194612,26.9,13.3
194701,29.2,13
194702,22.8,7.1
194703,35.9,22.8
194704,50,35.3
194705,63.8,44.6
194706,74.7,56.3
194707,83.9,63.4
194708,88.8,68.7
194709,73.3,53.7
194710,68.8,50
194711,32.3,20.3
194712,24.7,10.7
194801,19,0.3
194802,24.8,6.8
194803,36.8,18.6
194804,60.6,40.5
194805,69.3,48.9
194806,77.3,59.1
194807,86.7,65.3
194808,83.3,63.1
194809,79.6,56.8
194810,61.8,40.9
194811,40.3,29.5
194812,27,12
194901,20.7,6.6
194902,23.9,3.1
194903,37,22.9
194904,58.3,37
194905,72.8,52.4
194906,83.4,62.8
194907,87.3,67.2
194908,85.1,64.5
194909,68.3,49.3
194910,62.4,43.8
194911,43.4,30.5
194912,27.5,12.3
195001,15.7,-2.9
195002,26.3,6.7
195003,31.5,17.3
195004,44.1,30.8
195005,66,47.3
195006,79.3,58.1
195007,81.2,61.5
195008,78.2,58.3
195009,72.7,53.2
195010,64,43.6
195011,34.7,20.4
195012,18.9,4.9
195101,17.2,0.6
195102,25.7,9.6
195103,29.2,13.8
195104,49.9,35.9
195105,71.9,52.9
195106,74.3,56.8
195107,81.7,63.5
195108,76.5,60.8
195109,65.8,48.8
195110,57.1,41
195111,32.7,18
195112,21.9,9.9
195201,20.3,3.6
195202,30.7,16.9
195203,33,19.9
195204,60.5,40.8
195205,68.5,50
195206,79.3,61.5
195207,83.9,64.1
195208,78.8,60.4
195209,74,53
195210,55,34.1
195211,42.9,27.3
195212,28,17.8
195301,22.8,9.8
195302,26.6,9.4
195303,39.2,23.9
195304,48.8,34.1
195305,69.3,49.2
195306,81.2,62.3
195307,82.4,64.3
195308,82.9,64.8
195309,73.4,51.5
195310,68.6,46.5
195311,47.4,30.7
195312,29.6,13.4
195401,18.3,1.4
195402,39.5,24.3
195403,35.7,20.9
195404,57.2,36.9
195405,62.4,45
195406,81.3,62.8
195407,84.6,65.9
195408,80.4,61.3
195409,68.6,53.1
195410,55,40.8
195411,44.6,31.5
195412,27.9,18
195501,19.7,7.4
195502,23.6,5.5
195503,35.4,16.6
195504,65,43.9
195505,75.1,52.6
195506,78.2,59.9
195507,88.6,69
195508,86.1,67.2
195509,73.7,53
195510,61,42.3
195511,31.8,19
195512,19.4,4
195601,19.8,4.8
195602,24.2,6.1
195603,33.4,19.1
195604,51.9,32.8
195605,68.4,49
195606,84.6,63.8
195607,79.3,62.5
195608,81.2,62.2
195609,69.8,48.4
195610,67.4,46
195611,40.4,27.3
195612,30.9,15.9
195701,18.4,0.8
195702,29,12.3
195703,38.4,23.1
195704,57.1,37.8
195705,67.1,48.2
195706,77.3,59
195707,86.5,68.2
195708,79.9,62.9
195709,68.9,50.6
195710,57,40.7
195711,37.4,27.6
195712,30.9,18.7
195801,27.6,16.3
195802,23.7,7.6
195803,40.6,26.4
195804,58.6,38.2
195805,72.7,50.2
195806,73.7,54.6
195807,80.2,62.1
195808,81.2,62.6
195809,72.5,53.6
195810,63.1,43.5
195811,43.8,27.2
195812,22.8,8
195901,18,2.1
195902,26.2,8.4
195903,42.9,25.8
195904,57.4,37.8
195905,70.8,51.7
195906,80.6,62.7
195907,85.6,64.9
195908,84.5,67
195909,72.6,54.3
195910,51.5,37.7
195911,31.9,18.4
195912,35.4,23.9
196001,23.6,10.5
196002,25.5,10.3
196003,29.5,12.7
196004,56.7,38.5
196005,67.6,48.7
196006,75.1,55.8
196007,83.4,63.1
196008,82.4,64.8
196009,70.9,55.4
196010,60.3,40.4
196011,41.7,28.8
196012,24.6,11.5
196101,21.1,6.9
196102,32.2,18.1
196103,40.4,28.5
196104,48.2,33.8
196105,66.9,46.2
196106,80.3,60
196107,81.3,63.2
196108,82,64.1
196109,68.4,52.3
196110,62.8,41.1
196111,41.1,27.4
196112,23.4,9.1
196201,14.9,1.3
196202,19.2,7.2
196203,31.9,20.8
196204,53.9,34.3
196205,69.6,55.6
196206,77,59.8
196207,77,62.4
196208,79.9,60.6
196209,67.4,49
196210,60.6,42.9
196211,42.3,30.2
196212,26.2,13.6
196301,10.7,-3
196302,22.1,5.1
196303,44,28
196304,59.5,39.1
196305,66.2,48.7
196306,81.3,62.8
196307,84.9,66.6
196308,80.3,61.3
196309,72.7,55.1
196310,69.9,49.5
196311,47.5,31.6
196312,16.4,5.4
196401,27.7,14.2
196402,34.3,17.4
196403,34.6,20.7
196404,57.6,39.8
196405,73.1,53.8
196406,80.6,61.3
196407,87.7,68.8
196408,79.1,59.6
196409,68.4,51.4
196410,58.4,39.8
196411,43.3,28.6
196412,22.2,9.4
196501,18.2,3.6
196502,21.8,3.6
196503,26.3,14.5
196504,49,36.6
196505,68.3,51
196506,75.7,59.3
196507,80.1,62.7
196508,78.2,61
196509,59.7,47.8
196510,61.3,42
196511,41.2,26.9
196512,33.8,24.2
196601,11.8,-3.2
196602,24.7,9.8
196603,44.4,29.1
196604,50,36.3
196605,65.1,44.1
196606,79.1,59.6
196607,87.1,68.3
196608,78.2,60.2
196609,70.6,51.9
196610,58.4,38.5
196611,37.2,24.8
196612,24.6,13.6
196701,24,7.1
196702,19.5,-0.1
196703,36.9,24.6
196704,53,38.4
196705,63,43.5
196706,75.2,60.4
196707,78.6,60.7
196708,76.7,57.7
196709,72.2,50.3
196710,55.9,38.6
196711,37.8,25.5
196712,29.2,16.2
196801,22.5,8
196802,23.3,9
196803,49.4,30.1
196804,59.3,39.7
196805,62.2,46.6
196806,76.3,60
196807,80.3,63.8
196808,80.2,63.1
196809,70.5,53.6
196810,58.9,44.5
196811,40,30
196812,23.5,12.2
196901,17.2,2.1
196902,26.5,12.7
196903,32.2,16.7
196904,59.2,40.1
196905,71.1,50.6
196906,70.1,54
196907,82.6,65.1
196908,85.8,63.6
196909,73.5,53.1
196910,54.1,39.4
196911,40.3,27.5
196912,26.9,14.3
197001,14,-2.2
197002,25.2,6.2
197003,33,19.7
197004,55.1,37.7
197005,67.4,50.1
197006,80.7,62.3
197007,85.6,65.4
197008,81.9,62.6
197009,70.5,52.5
197010,57.5,42.4
197011,38.9,27.2
197012,25.8,11.3
197101,14.1,-0.4
197102,24.4,10.3
197103,34.6,22.2
197104,58.3,36.3
197105,66.4,45.1
197106,80.7,63
197107,79.2,59.1
197108,80.9,58.8
197109,72.7,53.6
197110,60.2,43.8
197111,39.1,27.5
197112,25.5,12.5
197201,14.9,-2.7
197202,19.7,2.5
197203,34.4,19.7
197204,50.8,34.2
197205,72.1,51.6
197206,78.2,55.1
197207,77.8,60.4
197208,79.1,61.7
197209,68,49
197210,52.4,36.2
197211,37.2,28.5
197212,18.4,5.3
197301,25.9,10
197302,28.8,15.5
197303,47,34.6
197304,53.5,36.4
197305,65.3,46.3
197306,80.9,59.3
197307,83.8,64.9
197308,82.3,65.7
197309,68.7,52.7
197310,63.2,45.6
197311,41.9,27.8
197312,23,11.5
197401,20.6,4.5
197402,26.2,8.7
197403,37.6,22.6
197404,57.3,38.1
197405,64.1,45.8
197406,76.2,56
197407,87.6,66.8
197408,77.5,58.3
197409,67.1,44.7
197410,60.5,40.2
197411,40.2,28.3
197412,30.8,19.1
197501,23.2,6.9
197502,23,9.2
197503,29.5,15.8
197504,45.5,33.5
197505,71.6,51.4
197506,76.7,60.3
197507,86,66.1
197508,80.2,61.6
197509,66.9,48.7
197510,63.9,41.6
197511,46,28
197512,27.2,14.1
197601,20.8,2.8
197602,35.7,19.5
197603,40.2,23.1
197604,63,39.6
197605,70,45.9
197606,82.9,59.8
197607,87.3,63.7
197608,84.5,61.1
197609,73.4,49.4
197610,54.2,33.6
197611,36.6,19.1
197612,22.7,2.8
197701,9.4,-8.5
197702,30.6,15.2
197703,44.8,30.6
197704,63.2,43.1
197705,77.8,56.5
