#  Minneapolis-St. Paul, Minnesota Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
193804,63
193805,65.5
193806,78.5
193807,83.4
193808,84.8
193809,72
193810,66.6
193811,38.3
193812,26.3
193901,26.1
193902,20
193903,39.1
193904,52.2
193905,76.1
193906,78.9
193907,85.3
193908,82
193909,75.1
193910,56.4
193911,47.4
193912,35.2
194001,12.8
194002,26.6
194003,31.5
194004,53
194005,66.9
194006,78.1
194007,87.2
194008,76.8
194009,76.1
194010,63.6
194011,33.7
194012,27.7
194101,23.9
194102,23.7
194103,35.8
194104,62.8
194105,74.3
194106,78.5
194107,85.5
194108,83.2
194109,72.9
194110,59.4
194111,43.8
194112,32.3
194201,27.9
194202,27.2
194203,42.7
194204,64
194205,65.2
194206,76.2
194207,81.5
194208,80
194209,65.9
194210,60.2
194211,41.6
194212,21.3
194301,15.3
194302,27.6
194303,32.1
194304,54.8
194305,66
194306,79.9
194307,84.7
194308,81.3
194309,68
194310,59.6
194311,34.7
194312,30.6
194401,33.2
194402,29.5
194403,32.2
194404,51.9
194405,72.3
194406,79.9
194407,81
194408,81.3
194409,70.7
194410,62
194411,41.8
194412,25.7
194501,19
194502,27.2
194503,49.8
194504,53.2
194505,62.2
194506,70.6
194507,80.9
194508,81.1
194509,70.1
194510,58.8
194511,37.9
194512,18.7
194601,22.6
194602,26.4
194603,51.1
194604,62.1
194605,66.1
194606,77.6
194607,84
194608,79.9
194609,69.5
194610,61.1
194611,40.6
194612,26.9
194701,29.2
194702,22.8
194703,35.9
194704,50
194705,63.8
194706,74.7
194707,83.9
194708,88.8
194709,73.3
194710,68.8
194711,32.3
194712,24.7
194801,19
194802,24.8
194803,36.8
194804,60.6
194805,69.3
194806,77.3
194807,86.7
194808,83.3
194809,79.6
194810,61.8
194811,40.3
194812,27
194901,20.7
194902,23.9
194903,37
194904,58.3
194905,72.8
194906,83.4
194907,87.3
194908,85.1
194909,68.3
194910,62.4
194911,43.4
194912,27.5
195001,15.7
195002,26.3
195003,31.5
195004,44.1
195005,66
195006,79.3
195007,81.2
195008,78.2
195009,72.7
195010,64
195011,34.7
195012,18.9
195101,17.2
195102,25.7
195103,29.2
195104,49.9
195105,71.9
195106,74.3
195107,81.7
195108,76.5
195109,65.8
195110,57.1
195111,32.7
195112,21.9
195201,20.3
195202,30.7
195203,33
195204,60.5
195205,68.5
195206,79.3
195207,83.9
195208,78.8
195209,74
195210,55
195211,42.9
195212,28
195301,22.8
195302,26.6
195303,39.2
195304,48.8
195305,69.3
195306,81.2
195307,82.4
195308,82.9
195309,73.4
195310,68.6
195311,47.4
195312,29.6
195401,18.3
195402,39.5
195403,35.7
195404,57.2
195405,62.4
195406,81.3
195407,84.6
195408,80.4
195409,68.6
195410,55
195411,44.6
195412,27.9
195501,19.7
195502,23.6
195503,35.4
195504,65
195505,75.1
195506,78.2
195507,88.6
195508,86.1
195509,73.7
195510,61
195511,31.8
195512,19.4
195601,19.8
195602,24.2
195603,33.4
195604,51.9
195605,68.4
195606,84.6
195607,79.3
195608,81.2
195609,69.8
195610,67.4
195611,40.4
195612,30.9
195701,18.4
195702,29
195703,38.4
195704,57.1
195705,67.1
195706,77.3
195707,86.5
195708,79.9
195709,68.9
195710,57
195711,37.4
195712,30.9
195801,27.6
195802,23.7
195803,40.6
195804,58.6
195805,72.7
195806,73.7
195807,80.2
195808,81.2
195809,72.5
195810,63.1
195811,43.8
195812,22.8
195901,18
195902,26.2
195903,42.9
195904,57.4
195905,70.8
195906,80.6
195907,85.6
195908,84.5
195909,72.6
195910,51.5
195911,31.9
195912,35.4
196001,23.6
196002,25.5
196003,29.5
196004,56.7
196005,67.6
196006,75.1
196007,83.4
196008,82.4
196009,70.9
196010,60.3
196011,41.7
196012,24.6
196101,21.1
196102,32.2
196103,40.4
196104,48.2
196105,66.9
196106,80.3
196107,81.3
196108,82
196109,68.4
196110,62.8
196111,41.1
196112,23.4
196201,14.9
196202,19.2
196203,31.9
196204,53.9
196205,69.6
196206,77
196207,77
196208,79.9
196209,67.4
196210,60.6
196211,42.3
196212,26.2
196301,10.7
196302,22.1
196303,44
196304,59.5
196305,66.2
196306,81.3
196307,84.9
196308,80.3
196309,72.7
196310,69.9
196311,47.5
196312,16.4
196401,27.7
196402,34.3
196403,34.6
196404,57.6
196405,73.1
196406,80.6
196407,87.7
