#  Minneapolis-St. Paul, Minnesota Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
Date,Value
193804,42.3
193805,49.2
193806,59.1
193807,65.1
193808,63.9
193809,53.2
193810,44.7
193811,24.3
193812,13.5
193901,12.4
193902,-1.4
193903,20.4
193904,33.7
193905,52.8
193906,60.1
193907,65.6
193908,61.5
193909,54
193910,39
193911,27.5
193912,19.2
194001,-0.7
194002,12.5
194003,17.6
194004,35.4
194005,46.3
194006,59.7
194007,66.1
194008,61.8
194009,55.3
194010,44.8
194011,21.5
194012,15.3
194101,10
194102,6
194103,21.2
194104,44
194105,53.5
194106,61.4
194107,65.6
194108,62.9
194109,54.2
194110,42.8
194111,28.8
194112,19.3
194201,12.3
194202,14.7
194203,29.8
194204,41.5
194205,48.1
194206,59
194207,63.1
194208,62.2
194209,49.3
194210,40.8
194211,25.3
194212,8.7
194301,-0.5
194302,7.4
194303,15.9
194304,35
194305,46.5
194306,62.5
194307,66.2
194308,63.6
194309,49.2
194310,39.8
194311,23.9
194312,15.4
194401,19
194402,12
194403,20.3
194404,35.1
194405,53.8
194406,61.3
194407,63.4
194408,63
194409,53.3
194410,40.8
194411,33.3
194412,12.1
194501,5.5
194502,8.5
194503,30.6
194504,35.8
194505,43.2
194506,53.9
194507,61.6
194508,62
194509,50.9
194510,38.9
194511,25.3
194512,7.1
194601,6.7
194602,7.4
194603,34.5
194604,41.2
194605,45.7
194606,58.3
194607,64.9
194608,58.8
194609,51.1
194610,41.9
194611,25.1
194612,13.3
194701,13
194702,7.1
194703,22.8
194704,35.3
194705,44.6
194706,56.3
194707,63.4
194708,68.7
194709,53.7
194710,50
194711,20.3
194712,10.7
194801,0.3
194802,6.8
194803,18.6
194804,40.5
194805,48.9
194806,59.1
194807,65.3
194808,63.1
194809,56.8
194810,40.9
194811,29.5
194812,12
194901,6.6
194902,3.1
194903,22.9
194904,37
194905,52.4
194906,62.8
194907,67.2
194908,64.5
194909,49.3
194910,43.8
194911,30.5
194912,12.3
195001,-2.9
195002,6.7
195003,17.3
195004,30.8
195005,47.3
195006,58.1
195007,61.5
195008,58.3
195009,53.2
195010,43.6
195011,20.4
195012,4.9
195101,0.6
195102,9.6
195103,13.8
195104,35.9
195105,52.9
195106,56.8
195107,63.5
195108,60.8
195109,48.8
195110,41
195111,18
195112,9.9
195201,3.6
195202,16.9
195203,19.9
195204,40.8
195205,50
195206,61.5
195207,64.1
195208,60.4
195209,53
195210,34.1
195211,27.3
195212,17.8
195301,9.8
195302,9.4
195303,23.9
195304,34.1
195305,49.2
195306,62.3
195307,64.3
195308,64.8
195309,51.5
195310,46.5
195311,30.7
195312,13.4
195401,1.4
195402,24.3
195403,20.9
195404,36.9
195405,45
195406,62.8
195407,65.9
195408,61.3
195409,53.1
195410,40.8
195411,31.5
195412,18
195501,7.4
195502,5.5
195503,16.6
195504,43.9
