"year_month","year","month","max_temp_f","min_temp_f"
"1938-04-01",1938,4,63,42.3
"1938-05-01",1938,5,65.5,49.2
"1938-06-01",1938,6,78.5,59.1
"1938-07-01",1938,7,83.4,65.1
"1938-08-01",1938,8,84.8,63.9
"1938-09-01",1938,9,72,53.2
"1938-10-01",1938,10,66.6,44.7
"1938-11-01",1938,11,38.3,24.3
"1938-12-01",1938,12,26.3,13.5
"1939-01-01",1939,1,26.1,12.4
"1939-02-01",1939,2,20,-1.4
"1939-03-01",1939,3,39.1,20.4
"1939-04-01",1939,4,52.2,33.7
"1939-05-01",1939,5,76.1,52.8
"1939-06-01",1939,6,78.9,60.1
"1939-07-01",1939,7,85.3,65.6
"1939-08-01",1939,8,82,61.5
"1939-09-01",1939,9,75.1,54
"1939-10-01",1939,10,56.4,39
"1939-11-01",1939,11,47.4,27.5
"1939-12-01",1939,12,35.2,19.2
"1940-01-01",1940,1,12.8,-0.7
"1940-02-01",1940,2,26.6,12.5
"1940-03-01",1940,3,31.5,17.6
"1940-04-01",1940,4,53,35.4
"1940-05-01",1940,5,66.9,46.3
"1940-06-01",1940,6,78.1,59.7
"1940-07-01",1940,7,87.2,66.1
"1940-08-01",1940,8,76.8,61.8
"1940-09-01",1940,9,76.1,55.3
"1940-10-01",1940,10,63.6,44.8
"1940-11-01",1940,11,33.7,21.5
"1940-12-01",1940,12,27.7,15.3
"1941-01-01",1941,1,23.9,10
"1941-02-01",1941,2,23.7,6
"1941-03-01",1941,3,35.8,21.2
"1941-04-01",1941,4,62.8,44
"1941-05-01",1941,5,74.3,53.5
"1941-06-01",1941,6,78.5,61.4
"1941-07-01",1941,7,85.5,65.6
"1941-08-01",1941,8,83.2,62.9
"1941-09-01",1941,9,72.9,54.2
"1941-10-01",1941,10,59.4,42.8
"1941-11-01",1941,11,43.8,28.8
"1941-12-01",1941,12,32.3,19.3
"1942-01-01",1942,1,27.9,12.3
"1942-02-01",1942,2,27.2,14.7
"1942-03-01",1942,3,42.7,29.8
"1942-04-01",1942,4,64,41.5
"1942-05-01",1942,5,65.2,48.1
"1942-06-01",1942,6,76.2,59
"1942-07-01",1942,7,81.5,63.1
"1942-08-01",1942,8,80,62.2
"1942-09-01",1942,9,65.9,49.3
"1942-10-01",1942,10,60.2,40.8
"1942-11-01",1942,11,41.6,25.3
"1942-12-01",1942,12,21.3,8.7
"1943-01-01",1943,1,15.3,-0.5
"1943-02-01",1943,2,27.6,7.4
"1943-03-01",1943,3,32.1,15.9
"1943-04-01",1943,4,54.8,35
"1943-05-01",1943,5,66,46.5
"1943-06-01",1943,6,79.9,62.5
"1943-07-01",1943,7,84.7,66.2
"1943-08-01",1943,8,81.3,63.6
"1943-09-01",1943,9,68,49.2
"1943-10-01",1943,10,59.6,39.8
"1943-11-01",1943,11,34.7,23.9
"1943-12-01",1943,12,30.6,15.4
"1944-01-01",1944,1,33.2,19
"1944-02-01",1944,2,29.5,12
"1944-03-01",1944,3,32.2,20.3
"1944-04-01",1944,4,51.9,35.1
"1944-05-01",1944,5,72.3,53.8
"1944-06-01",1944,6,79.9,61.3
"1944-07-01",1944,7,81,63.4
"1944-08-01",1944,8,81.3,63
"1944-09-01",1944,9,70.7,53.3
"1944-10-01",1944,10,62,40.8
"1944-11-01",1944,11,41.8,33.3
"1944-12-01",1944,12,25.7,12.1
"1945-01-01",1945,1,19,5.5
"1945-02-01",1945,2,27.2,8.5
"1945-03-01",1945,3,49.8,30.6
"1945-04-01",1945,4,53.2,35.8
"1945-05-01",1945,5,62.2,43.2
"1945-06-01",1945,6,70.6,53.9
"1945-07-01",1945,7,80.9,61.6
"1945-08-01",1945,8,81.1,62
"1945-09-01",1945,9,70.1,50.9
"1945-10-01",1945,10,58.8,38.9
"1945-11-01",1945,11,37.9,25.3
"1945-12-01",1945,12,18.7,7.1
"1946-01-01",1946,1,22.6,6.7
"1946-02-01",1946,2,26.4,7.4
"1946-03-01",1946,3,51.1,34.5
"1946-04-01",1946,4,62.1,41.2
"1946-05-01",1946,5,66.1,45.7
"1946-06-01",1946,6,77.6,58.3
"1946-07-01",1946,7,84,64.9
"1946-08-01",1946,8,79.9,58.8
"1946-09-01",1946,9,69.5,51.1
"1946-10-01",1946,10,61.1,41.9
"1946-11-01",1946,11,40.6,25.1
"1946-12-01",1946,12,26.9,13.3
"1947-01-01",1947,1,29.2,13
"1947-02-01",1947,2,22.8,7.1
"1947-03-01",1947,3,35.9,22.8
"1947-04-01",1947,4,50,35.3
"1947-05-01",1947,5,63.8,44.6
"1947-06-01",1947,6,74.7,56.3
"1947-07-01",1947,7,83.9,63.4
"1947-08-01",1947,8,88.8,68.7
"1947-09-01",1947,9,73.3,53.7
"1947-10-01",1947,10,68.8,50
"1947-11-01",1947,11,32.3,20.3
"1947-12-01",1947,12,24.7,10.7
"1948-01-01",1948,1,19,0.3
"1948-02-01",1948,2,24.8,6.8
"1948-03-01",1948,3,36.8,18.6
"1948-04-01",1948,4,60.6,40.5
"1948-05-01",1948,5,69.3,48.9
"1948-06-01",1948,6,77.3,59.1
"1948-07-01",1948,7,86.7,65.3
"1948-08-01",1948,8,83.3,63.1
"1948-09-01",1948,9,79.6,56.8
"1948-10-01",1948,10,61.8,40.9
"1948-11-01",1948,11,40.3,29.5
"1948-12-01",1948,12,27,12
"1949-01-01",1949,1,20.7,6.6
"1949-02-01",1949,2,23.9,3.1
"1949-03-01",1949,3,37,22.9
